"start","end","text"
"330","8730"," All right, well, welcome all to the last workshop in the non-visual data science workshop series."
"13690","21950"," My name is Patrick Smyth. I am the chief learner at IOTA, and so this is the last workshop in our"
"21950","26010"," non-visual data science workshop series, so workshop number five. It's our second workshop"
"26010","33030"," on sonification, and Sarah Kane is going to be, you know, leading us in a little further exploration"
"33030","41270"," of making data representations with sound rather than sight, and I just want to go through a few"
"41270","50790"," administrative items, and then we'll get started. So we will, I'm in the final stages here. I'm"
"50790","54910"," waiting just to hear about something about the server setup, but we're going to have a mailing"
"54910","62930"," list set up for people getting started with data science with a visual impairment,"
"63690","71290"," so I'm going to send out an email when that's all set up. You'll see that in an email that will go"
"71290","77170"," out. Hopefully, I'll have it done by the recording email that will go out tomorrow, most likely,"
"77830","84190"," but if not, it'll be later in the week. It'll be its own separate email. We also have a couple"
"84190","88570"," of events coming up that I'd like to kind of highlight to you, so I'd recommend keeping an"
"88570","96110"," eye on the email following this, but, you know, one, for example, is Tony Fast, who's been coming"
"96110","105610"," to these workshops and is doing an event with Space Telescope Science Institute related to,"
"106190","110670"," you know, basically the topics that we're doing here. He's developing a"
"112910","118410"," accessible version of Jupyter Notebooks and may be an interesting time to, you know,"
"118450","122670"," if you're interested in that, it sounds good. He may need some testers and so on in the coming"
"122670","132190"," weeks and months to try out his prototype, so, and, you know, the usual, I'd just like to thank"
"132190","140310"," a couple of people. We will, our helpers are in the room, so we have Elizabeth and Alex in the"
"140310","146950"," room today. I will also be here helping out, so if you have any questions, just drop them in the"
"146950","155030"," chat and one of us will respond to you, and you can either message myself, Patrick Smith,"
"155850","163810"," Alex Ogden, or Elizabeth Sola privately if you prefer, or you can just ask your question"
"163810","170710"," publicly and we'll manage it that way. I'd also like to thank Pandas and NumFOCUS"
"171200","180850"," for hosting these workshops and, you know, and especially Patrick Hofler, who's a Pandas"
"180850","188630"," core developer, who sort of helped us put this series together. And finally, there's one"
"188630","196630"," small sort of technical item that a couple of people have emailed me about one specific thing."
"196850","202670"," So, in the second and third workshops, we learned how to, maybe even as far back as the first,"
"202770","211290"," we learned how to use the IPython magic command save, so %save and %load, and so people were"
"211290","214870"," not really having so much trouble with the save command, but then when they were loading"
"216110","224010"," their files, there was some difficulty with the behavior that is experienced when you load. So,"
"224110","227370"," the part that I think I didn't explain, and I'm going to update the tutorial,"
"227970","235070"," I have an issue open, so I will not forget that, but the extra step that we sort of left out is"
"235070","241850"," that when you do the %load and the file name to load in your code, then once that successfully"
"241850","247510"," executes, what it basically does is it kind of like almost like types in all the code,"
"247790","254530"," so it's in a giant block in IPython, and in order to run that giant block, so you may hear"
"255050","260829"," different things, you may hear the code that you imported, you may hear dot, dot, dot, that's what"
"260829","265910"," some people were hearing, but basically in order to sort of complete the loading process, you need"
"265910","273110"," to hit the enter button twice, okay, and once that happens, it basically is as if you typed in"
